0|1750436933.651|hi!
5|1750436942.354|hello
0|1750437704.726|This is a very looooooooon text, but the word wrap feature of this chat app will fix the issue of not being able to read this message as without this feature the text will flow out of bounds.
5|1750437796.742|true
5|1750438704.199|yooooooo!
5|1750884857.649|hi
5|1750884927.571|hi
5|1750885028.673|yooooooo
5|1750885030.774|ji
5|1750885031.609|ji
5|1750885032.5|ji
5|1750885033.277|k
5|1750885033.511|k
5|1750885033.751|k
5|1750885033.863|k
5|1750885034.072|k
5|1750885034.426|k
5|1750885035.77|k
0|1750886101.454|hi
0|1750893228.159|h
5|1750893527.667|hey
5|1750893547.167|yo
5|1750893556.211|yo
5|1750893624.652|j
5|1750893638.698|k
5|1750893647.528|hey
5|1750893657.528|j
5|1750893663.038|k
5|1750893664.181|k
5|1750893819.549|yo
5|1750893848.777|hi
5|1750893854.052|hey
5|1750893909.123|hello
5|1750893914.689|hi
5|1750893929.345|yo
5|1750894233.923|hi
5|1750894269.649|j
5|1750894271.455|k
5|1750894272.175|k
5|1750894272.974|k
5|1750894279.276|d
5|1750894339.529|d
5|1750894341.489|d
5|1750894342.399|d
5|1750894343.287|d
5|1750894344.001|d
5|1750894344.594|d
5|1750894345.276|d
5|1750894432.155|d
5|1750894445.31|kk
5|1751030728.491|hey
5|1751032288.931|k
5|1751032345.994|s
5|1751032351.637|d
5|1751032355.01|fe
5|1751032580.989|yo
5|1751032583.025|he
5|1751032585.943|lol
5|1751032590.928|sup
5|1751032595.305|lol
5|1751032597.157|d
5|1751032804.779|j
5|1751032807.354|k
5|1751032822.912|1
5|1751032825.168|4
5|1751032922.727|1
5|1751032924.47|5
5|1751032942.286|1
5|1751032943.82|5
5|1751039512.154|1
5|1751039514.358|5
5|1751039558.144|1
5|1751039568.296|1
5|1751039571.546|1
5|1751039573.577|.
5|1751039575.641|1
5|1751039575.964|2
5|1751039576.311|3
5|1751039576.576|4
5|1751039577.287|5
5|1751039580.347|1
5|1751039580.63|2
5|1751039580.929|3
5|1751039581.298|4
5|1751039581.454|5
5|1751039584.318|1
5|1751039584.741|2
5|1751039584.88|3
5|1751039585.081|4
5|1751039585.391|5
5|1751039592.269|1
5|1751039592.472|2
5|1751039592.807|3
5|1751039593.396|45
5|1751039593.516|6
5|1751039593.715|7
5|1751039597.905|1
5|1751039598.239|2
5|1751039598.68|3
5|1751039599.384|4
5|1751039605.251|1
5|1751039605.491|2
5|1751039605.801|3
5|1751039606.092|4
5|1751039939.064|1
5|1751039946.681|1
5|1751039954.545|k
5|1751039959.749|hi
5|1751039964.858|1
5|1751040156.749|h
5|1751040162.674|k
5|1751040259.241|yo
5|1751040260.977|ji
5|1751040378.61|hi
5|1751040380.336|hi
5|1751040382.269|hi
5|1751040383.911|hi
5|1751040389.644|1
5|1751040425.395|1
5|1751040425.7|2
5|1751040425.951|3
5|1751040426.794|4
5|1751040426.997|5
5|1751040431.632|1
5|1751040431.91|2
5|1751040432.279|34
5|1751040432.351|5
0|1751040450.844|1
0|1751040451.177|2
0|1751040451.45|3
0|1751040451.827|4
0|1751040452.274|5
0|1751040457.555|1
0|1751040457.842|2
0|1751040458.07|34
0|1751040458.329|5
0|1751151164.584|hi
0|1751151185.114|hi
0|1751151196.07|yoooo
0|1751151259.935|h
0|1751151352.465|j
0|1751151377.564|j
0|1751151384.033|k
0|1751151414.049|l
0|1751151417.225|1
0|1751151417.548|2
0|1751151417.776|3
0|1751151418.1|4
0|1751151418.352|5
0|1751151418.625|6
0|1751151431.66|1
0|1751151431.987|2
0|1751151432.297|3
0|1751151432.578|4
0|1751151432.891|5
0|1751151433.162|6
0|1751151435.515|hi
0|1751151455.528|j
0|1751151462.213|e
0|1751151468.238|f
0|1751151476.906|e
0|1751151590.079|d
0|1751151596.987|f
0|1751151602.737|f
0|1751155554.329|f
0|1751197018.455|ding
0|1751197027.576|ding
5|1751197043.687|ding?
0|1751197048.457|ding
0|1751197062.567|ding
0|1751197078.992|1
0|1751197079.471|2
0|1751197080.43|3
0|1751197080.577|4
0|1751197080.958|5
0|1751197082.682|6
0|1751210163.353|f
0|1751210210.169|f
5|1751210239.974|hi
0|1751210402.984|hi
5|1751210407.814|hi
5|1751210418.498|yoo
5|1751210497.478|yo
5|1751210511.53|yo
5|1751210675.468|f
5|1751210703.838|d
5|1751210733.55|f
5|1751210831.234|d
5|1751210835.881|f
5|1751210837.11|f
5|1751210837.255|f
5|1751210837.558|f
5|1751210837.675|f
5|1751210837.746|f
5|1751210837.954|f
5|1751210838.145|f
5|1751210838.4|f
0|1751210843.683|f
0|1751210843.985|f
0|1751210844.126|f
0|1751210844.335|f
5|1751211000.735|het
5|1751211002.343|hey
5|1751211030.259|hey
0|1751231455.639|e
0|1751231456.845|2
5|1751231650.323|d
5|1751231699.451|d
5|1751231894.385|d
5|1751231901.202|rr
5|1751231901.957|e
5|1751231902.475|e
5|1751231902.68|e
5|1751231902.791|e
5|1751231903.194|e
5|1751231903.399|e
5|1751232880.998|f
5|1751232882.502|e
5|1751232883.312|3
5|1751232989.498|d
5|1751232992.046|f
5|1751233007.06|d
5|1751233015.548|r
5|1751233019.43|d
0|1751233025.398|c
5|1751233037.493|d
5|1751233041.496|d
5|1751233083.256|d
5|1751233171.748|d
5|1751233196.679|f
5|1751233201.834|d
5|1751233245.099|f
5|1751233455.755|d
5|1751233510.954|f
5|1751233515.824|d
5|1751233516.901|3
5|1751233517.06|3
5|1751233517.426|3
5|1751233517.681|33
5|1751233520.395|d
5|1751233528.091|d
5|1751233529.68|r
5|1751233530.821|2
5|1751233531.039|2
5|1751233531.392|2
5|1751233531.554|2
5|1751233531.774|2
5|1751233532.019|2
5|1751233532.36|2
5|1751233532.614|2
5|1751233532.733|2
5|1751233532.978|2
5|1751233533.231|2
5|1751233533.452|2
5|1751233536.548|e
5|1751233539.43|d
